Oscilloscope data. 
Time step = 50,00 uS
Voltage step = 156,3 mV
Zero level = 116

N 	Smpl.	Trig

0	179	0
1	46	0
2	178	0
3	46	0
4	179	0
5	46	0
6	179	0
7	47	0
8	178	0
9	46	0
10	179	0
11	46	0
12	179	0
13	46	0
14	179	0
15	47	0
16	179	0
17	46	0
18	179	0
19	46	0
20	179	0
21	47	0
22	179	0
23	46	0
24	179	0
25	46	0
26	178	0
27	46	0
28	179	0
29	46	0
30	179	0
31	47	0
32	179	0
33	46	0
34	179	0
35	46	0
36	179	0
37	46	0
38	179	0
39	46	0
40	179	0
41	46	0
42	179	0
43	46	0
44	178	0
45	46	0
46	179	0
47	46	0
48	179	0
49	46	0
50	179	0
51	46	0
52	179	0
53	47	0
54	179	0
55	46	0
56	179	0
57	47	0
58	179	0
59	47	0
60	179	0
61	46	0
62	179	0
63	46	0
64	179	0
65	47	0
66	179	0
67	46	0
68	179	0
69	46	0
70	179	0
71	47	0
72	179	0
73	46	0
74	179	0
75	46	0
76	179	0
77	46	0
78	179	0
79	46	0
80	179	0
81	46	0
82	179	0
83	46	0
84	179	0
85	46	0
86	178	0
87	46	0
88	179	0
89	46	0
90	179	0
91	47	0
92	179	0
93	47	0
94	179	0
95	46	0
96	179	0
97	46	0
98	179	0
99	46	0
100	179	0
101	46	0
102	179	0
103	46	0
104	181	0
105	43	0
106	182	0
107	41	0
108	186	0
109	35	0
110	192	0
111	29	0
112	199	0
113	22	0
114	206	0
115	15	0
116	213	0
117	8	0
118	221	0
119	0	0
120	229	0
121	0	0
122	235	0
123	0	0
124	239	0
125	0	0
126	241	0
127	0	0
128	239	0
129	0	0
130	231	0
131	0	0
132	218	0
133	15	0
134	199	0
135	37	0
136	175	0
137	63	0
138	147	0
139	94	0
140	113	0
141	128	0
142	78	0
143	163	0
144	45	0
145	195	0
146	15	0
147	221	0
148	0	0
149	237	0
150	0	0
151	241	0
152	0	0
153	227	0
154	10	0
155	199	0
156	45	0
157	157	0
158	91	0
159	108	0
160	142	0
161	57	0
162	190	0
163	16	0
164	225	0
165	0	0
166	241	0
167	0	0
168	230	0
169	9	0
170	193	0
171	56	0
172	139	0
173	117	0
174	75	0
175	179	0
176	20	0
177	225	0
178	0	0
179	241	0
180	0	0
181	219	0
182	29	0
183	165	0
184	94	0
185	94	0
186	167	0
187	27	0
188	222	0
189	0	0
190	240	0
191	0	0
192	211	0
193	46	0
194	141	0
195	125	0
196	59	0
197	201	0
198	0	0
199	239	0
200	0	0
201	222	0
202	31	0
203	153	0
204	116	0
205	63	0
206	201	0
207	0	0
208	241	0
209	0	0
210	213	0
211	49	0
212	129	0
213	144	0
214	35	0
215	223	0
216	0	0
217	237	0
218	11	0
219	173	0
220	102	0
221	70	0
222	199	0
223	0	0
224	241	0
225	0	0
226	193	0
227	81	0
228	87	0
229	189	0
230	0	0
231	241	0
232	0	0
233	194	0
234	83	0
235	83	0
236	195	0
237	0	0
238	240	0
239	4	0
240	177	0
241	105	0
242	57	0
243	215	0
244	0	0
245	233	0
246	29	0
247	138	0
248	150	0
249	19	0
250	237	0
251	0	0
252	201	0
253	81	0
254	75	0
255	206	0
256	0	0
257	233	0
258	30	0
259	129	0
260	163	0
261	7	0
262	241	0
263	1	0
264	173	0
265	122	0
266	35	0
267	233	0
268	0	0
269	200	0
270	91	0
271	60	0
272	221	0
273	0	0
274	215	0
275	72	0
276	77	0
277	213	0
278	0	0
279	221	0
280	62	0
281	83	0
282	209	0
283	0	0
284	221	0
285	65	0
286	79	0
287	213	0
288	0	0
289	215	0
290	78	0
291	64	0
292	223	0
293	0	0
294	201	0
295	101	0
296	41	0
297	235	0
298	0	0
299	173	0
300	137	0
301	13	0
302	241	0
303	16	0
304	130	0
305	181	0
306	0	0
307	230	0
308	58	0
309	76	0
310	221	0
311	0	0
312	191	0
313	121	0
314	19	0
315	241	0
316	17	0
317	123	0
318	192	0
319	0	0
320	217	0
321	88	0
322	43	0
323	237	0
324	4	0
325	143	0
326	179	0
327	0	0
328	222	0
329	83	0
330	45	0
331	238	0
332	6	0
333	134	0
334	189	0
335	0	0
336	211	0
337	106	0
338	23	0
339	241	0
340	29	0
341	97	0
342	217	0
343	0	0
344	173	0
345	157	0
346	0	0
347	225	0
348	85	0
349	35	0
350	241	0
351	23	0
352	99	0
353	219	0
354	0	0
355	161	0
356	173	0
357	0	0
358	210	0
359	116	0
360	9	0
361	236	0
362	62	0
363	49	0
364	239	0
365	21	0
366	97	0
367	223	0
368	0	0
369	142	0
370	194	0
371	0	0
372	179	0
373	161	0
374	0	0
375	209	0
376	125	0
377	1	0
378	227	0
379	94	0
380	18	0
381	237	0
382	67	0
383	39	0
384	241	0
385	45	0
386	58	0
387	239	0
388	29	0
389	76	0
390	235	0
391	18	0
392	91	0
393	232	0
394	9	0
395	101	0
396	228	0
397	5	0
398	108	0
399	224	0
400	3	0
401	110	0
402	225	0
403	3	0
404	109	0
405	225	0
406	5	0
407	104	0
408	229	0
409	9	0
410	94	0
411	233	0
412	17	0
413	81	0
414	237	0
415	29	0
416	65	0
417	241	0
418	45	0
419	45	0
420	241	0
421	67	0
422	25	0
423	235	0
424	93	0
425	7	0
426	222	0
427	125	0
428	0	0
429	201	0
430	160	0
431	0	0
432	169	0
433	195	0
434	0	0
435	127	0
436	223	0
437	10	0
438	81	0
439	239	0
440	47	0
441	35	0
442	237	0
443	97	0
444	0	0
445	210	0
446	154	0
447	0	0
448	161	0
449	206	0
450	0	0
451	99	0
452	237	0
453	41	0
454	37	0
455	235	0
456	108	0
457	0	0
458	194	0
459	179	0
460	0	0
461	123	0
462	230	0
463	29	0
464	45	0
465	237	0
466	105	0
467	0	0
468	189	0
469	189	0
470	0	0
471	104	0
472	238	0
473	53	0
474	19	0
475	222	0
476	147	0
477	0	0
478	143	0
479	225	0
480	25	0
481	43	0
482	233	0
483	123	0
484	0	0
485	160	0
486	217	0
487	17	0
488	50	0
489	235	0
490	121	0
491	0	0
492	157	0
493	221	0
494	24	0
495	39	0
496	229	0
497	141	0
498	0	0
499	131	0
500	233	0
501	49	0
502	13	0
503	209	0
504	179	0
505	0	0
506	84	0
507	241	0
508	101	0
509	0	0
510	161	0
511	223	0
512	33	0
513	22	0
514	215	0
515	174	0
516	0	0
517	79	0
518	239	0
519	115	0
520	0	0
521	137	0
522	235	0
523	62	0
524	0	0
525	183	0
526	211	0
527	23	0
528	28	0
529	215	0
530	180	0
531	0	0
532	61	0
533	233	0
534	148	0
535	0	0
536	90	0
537	239	0
538	121	0
539	0	0
540	114	0
541	241	0
542	101	0
543	0	0
544	131	0
545	239	0
546	87	0
547	0	0
548	141	0
549	237	0
550	81	0
551	0	0
552	144	0
553	237	0
554	81	0
555	0	0
556	140	0
557	238	0
558	90	0
559	0	0
560	128	0
561	241	0
562	105	0
563	0	0
564	109	0
565	240	0
566	127	0
567	0	0
568	83	0
569	235	0
570	157	0
571	0	0
572	53	0
573	221	0
574	188	0
575	15	0
576	21	0
577	193	0
578	218	0
579	51	0
580	0	0
581	150	0
582	238	0
583	101	0
584	0	0
585	94	0
586	237	0
587	160	0
588	1	0
589	37	0
590	205	0
591	213	0
592	49	0
593	0	0
594	142	0
595	240	0
596	121	0
597	0	0
598	64	0
599	222	0
600	197	0
601	31	0
602	1	0
603	154	0
604	239	0
605	117	0
606	0	0
607	61	0
608	217	0
609	205	0
610	45	0
611	0	0
612	130	0
613	241	0
614	149	0
615	1	0
616	27	0
617	186	0
618	232	0
619	93	0
620	0	0
621	71	0
622	220	0
623	206	0
624	51	0
625	0	0
626	111	0
627	236	0
628	178	0
629	24	0
630	0	0
631	140	0
632	241	0
633	156	0
634	9	0
635	10	0
636	157	0
637	240	0
638	143	0
639	3	0
640	15	0
641	163	0
642	240	0
643	141	0
644	3	0
645	14	0
646	158	0
647	241	0
648	149	0
649	9	0
650	6	0
651	143	0
652	240	0
653	168	0
654	24	0
655	0	0
656	117	0
657	234	0
658	194	0
659	51	0
660	0	0
661	79	0
662	216	0
663	222	0
664	93	0
665	0	0
666	37	0
667	176	0
668	240	0
669	149	0
670	13	0
671	0	0
672	117	0
673	231	0
674	205	0
675	71	0
676	0	0
677	47	0
678	184	0
679	239	0
680	149	0
681	19	0
682	0	0
683	101	0
684	222	0
685	221	0
686	101	0
687	0	0
688	15	0
689	142	0
690	237	0
691	197	0
692	68	0
693	0	0
694	36	0
695	167	0
696	241	0
697	181	0
698	52	0
699	0	0
700	47	0
701	175	0
702	241	0
703	177	0
704	51	0
705	0	0
706	43	0
707	169	0
708	240	0
709	188	0
710	64	0
711	0	0
712	27	0
713	148	0
714	235	0
715	209	0
716	93	0
717	0	0
718	5	0
719	110	0
720	218	0
721	232	0
722	141	0
723	25	0
724	0	0
725	56	0
726	175	0
727	241	0
728	196	0
729	81	0
730	0	0
731	5	0
732	105	0
733	211	0
734	237	0
735	162	0
736	48	0
737	0	0
738	23	0
739	133	0
740	225	0
741	230	0
742	145	0
743	34	0
744	0	0
745	31	0
746	137	0
747	225	0
748	230	0
749	148	0
750	40	0
751	0	0
752	21	0
753	122	0
754	216	0
755	237	0
756	171	0
757	65	0
758	0	0
759	0	0
760	85	0
761	187	0
762	240	0
763	208	0
764	115	0
765	21	0
766	0	0
767	31	0
768	128	0
769	216	0
770	239	0
771	183	0
772	85	0
773	4	0
774	0	0
775	47	0
776	145	0
777	222	0
778	237	0
779	179	0
780	82	0
781	5	0
782	0	0
783	40	0
784	132	0
785	214	0
786	241	0
787	197	0
788	110	0
789	23	0
790	0	0
791	12	0
792	92	0
793	181	0
794	236	0
795	229	0
796	164	0
797	74	0
798	4	0
799	0	0
800	29	0
801	111	0
802	193	0
803	238	0
804	225	0
805	159	0
806	74	0
807	6	0
808	0	0
809	20	0
810	95	0
