Oscilloscope data. 
Time step = 1,000 uS
Voltage step = 312,5 mV
Zero level = 55

N 	Smpl.	Trig

0	157	0
1	112	0
2	70	0
3	54	0
4	73	0
5	116	0
6	160	0
7	181	0
8	169	0
9	127	0
10	81	0
11	55	0
12	62	0
13	100	0
14	147	0
15	178	0
16	177	0
17	143	0
18	95	0
19	61	0
20	56	0
21	85	0
22	132	0
23	171	0
24	181	0
25	157	0
26	112	0
27	69	0
28	53	0
29	73	0
30	115	0
31	160	0
32	182	0
33	169	0
34	127	0
35	81	0
36	55	0
37	63	0
38	101	0
39	147	0
40	178	0
41	177	0
42	143	0
43	96	0
44	61	0
45	55	0
46	85	0
47	132	0
48	171	0
49	181	0
50	157	0
51	112	0
52	70	0
53	53	0
54	73	0
55	116	0
56	160	0
57	182	0
58	169	0
59	127	0
60	81	0
61	54	0
62	62	0
63	99	0
64	147	0
65	178	0
66	177	0
67	143	0
68	95	0
69	61	0
70	56	0
71	85	0
72	131	0
73	171	0
74	181	0
75	157	0
76	112	0
77	70	0
78	53	0
79	73	0
80	116	0
81	160	0
82	182	0
83	169	0
84	127	0
85	81	0
86	55	0
87	62	0
88	100	0
89	147	0
90	179	0
91	177	0
92	143	0
93	95	0
94	61	0
95	57	0
96	85	0
97	132	0
98	171	0
99	181	0
100	157	0
101	111	0
102	69	0
103	54	0
104	73	0
105	116	0
106	160	0
107	181	0
108	169	0
109	127	0
110	81	0
111	55	0
112	63	0
113	101	0
114	147	0
115	178	0
116	177	0
117	143	0
118	95	0
119	61	0
120	56	0
121	85	0
122	133	0
123	171	0
124	181	0
125	157	0
126	111	0
127	70	0
128	53	0
129	73	0
130	116	0
131	160	0
132	182	0
133	169	0
134	127	0
135	81	0
136	55	0
137	63	0
138	100	0
139	147	0
140	178	0
141	177	0
142	143	0
143	95	0
144	61	0
145	56	0
146	85	0
147	132	0
148	171	0
149	181	0
150	157	0
151	112	0
152	69	0
153	53	0
154	73	0
155	116	0
156	160	0
157	181	0
158	169	0
159	127	0
160	81	0
161	54	0
162	62	0
163	100	0
164	147	0
165	178	0
166	177	0
167	143	0
168	96	0
169	61	0
170	56	0
171	85	0
172	131	0
173	171	0
174	181	0
175	157	0
176	111	0
177	70	0
178	53	0
179	73	0
180	116	0
181	161	0
182	181	0
183	168	0
184	127	0
185	81	0
186	54	0
187	63	0
188	100	0
189	147	0
190	178	0
191	177	0
192	143	0
193	95	0
194	61	0
195	56	0
196	86	0
197	132	0
198	171	0
199	181	0
200	157	0
201	111	0
202	69	0
203	54	0
204	73	0
205	116	0
206	161	0
207	182	0
208	169	0
209	127	0
210	82	0
211	55	0
212	63	0
213	101	0
214	147	0
215	178	0
216	177	0
217	143	0
218	95	0
219	61	0
220	56	0
221	85	0
222	132	0
223	171	0
224	181	0
225	157	0
226	112	0
227	70	0
228	53	0
229	73	0
230	116	0
231	160	0
232	182	0
233	169	0
234	127	0
235	82	0
236	55	0
237	63	0
238	101	0
239	147	0
240	178	0
241	177	0
242	143	0
243	95	0
244	61	0
245	56	0
246	85	0
247	132	0
248	171	0
249	182	0
250	157	0
251	111	0
252	69	0
253	54	0
254	73	0
255	116	0
256	160	0
257	182	0
258	169	0
259	127	0
260	81	0
261	55	0
262	62	0
263	100	0
264	147	0
265	177	0
266	177	0
267	143	0
268	96	0
269	61	0
270	56	0
271	85	0
272	131	0
273	171	0
274	181	0
275	157	0
276	112	0
277	70	0
278	54	0
279	73	0
280	116	0
281	160	0
282	182	0
283	169	0
284	127	0
285	81	0
286	55	0
287	63	0
288	100	0
289	147	0
290	178	0
291	177	0
292	143	0
293	95	0
294	61	0
295	55	0
296	85	0
297	132	0
298	170	0
299	181	0
300	157	0
301	112	0
302	69	0
303	53	0
304	73	0
305	115	0
306	160	0
307	181	0
308	168	0
309	127	0
310	81	0
311	54	0
312	63	0
313	100	0
314	147	0
315	177	0
316	177	0
317	143	0
318	96	0
319	61	0
320	55	0
321	85	0
322	132	0
323	170	0
324	181	0
325	157	0
326	111	0
327	70	0
328	53	0
329	73	0
330	116	0
331	161	0
332	181	0
333	169	0
334	127	0
335	82	0
336	55	0
337	63	0
338	100	0
339	147	0
340	178	0
341	177	0
342	143	0
343	96	0
344	61	0
345	56	0
346	85	0
347	133	0
348	171	0
349	181	0
350	157	0
351	112	0
352	69	0
353	54	0
354	73	0
355	116	0
356	160	0
357	181	0
358	169	0
359	127	0
360	82	0
361	55	0
362	63	0
363	100	0
364	147	0
365	178	0
366	177	0
367	143	0
368	95	0
369	61	0
370	55	0
371	85	0
372	132	0
373	171	0
374	181	0
375	157	0
376	112	0
377	70	0
378	54	0
379	73	0
380	117	0
381	159	0
382	182	0
383	169	0
384	127	0
385	82	0
386	55	0
387	63	0
388	101	0
389	147	0
390	178	0
391	177	0
392	143	0
393	95	0
394	61	0
395	56	0
396	85	0
397	131	0
398	171	0
399	181	0
400	157	0
401	112	0
402	70	0
403	53	0
404	73	0
405	116	0
406	160	0
407	182	0
408	169	0
409	127	0
410	82	0
411	55	0
412	62	0
413	100	0
414	147	0
415	177	0
416	177	0
417	143	0
418	96	0
419	61	0
420	56	0
421	85	0
422	132	0
423	171	0
424	181	0
425	157	0
426	112	0
427	69	0
428	53	0
429	73	0
430	116	0
431	160	0
432	182	0
433	168	0
434	127	0
435	82	0
436	55	0
437	63	0
438	100	0
439	147	0
440	178	0
441	177	0
442	143	0
443	95	0
444	61	0
445	56	0
446	85	0
447	132	0
448	171	0
449	181	0
450	157	0
451	112	0
452	69	0
453	54	0
454	73	0
455	115	0
456	160	0
457	181	0
458	168	0
459	127	0
460	81	0
461	54	0
462	63	0
463	100	0
464	147	0
465	179	0
466	177	0
467	143	0
468	95	0
469	61	0
470	56	0
471	85	0
472	133	0
473	171	0
474	181	0
475	157	0
476	111	0
477	69	0
478	53	0
479	73	0
480	116	0
481	159	0
482	182	0
483	169	0
484	127	0
485	81	0
486	55	0
487	63	0
488	101	0
489	147	0
490	178	0
491	177	0
492	143	0
493	96	0
494	61	0
495	56	0
496	85	0
497	131	0
498	171	0
499	181	0
500	157	0
501	111	0
502	69	0
503	53	0
504	73	0
505	116	0
506	160	0
507	182	0
508	169	0
509	127	0
510	81	0
511	55	0
512	63	0
513	100	0
514	147	0
515	178	0
516	177	0
517	143	0
518	95	0
519	61	0
520	56	0
521	85	0
522	132	0
523	171	0
524	181	0
525	157	0
526	113	0
527	70	0
528	54	0
529	73	0
530	116	0
531	161	0
532	181	0
533	169	0
534	127	0
535	81	0
536	54	0
537	62	0
538	100	0
539	147	0
540	178	0
541	177	0
542	143	0
543	96	0
544	61	0
545	55	0
546	85	0
547	131	0
548	171	0
549	181	0
550	157	0
551	112	0
552	70	0
553	54	0
554	73	0
555	116	0
556	160	0
557	182	0
558	169	0
559	127	0
560	82	0
561	55	0
562	63	0
563	100	0
564	147	0
565	178	0
566	177	0
567	143	0
568	95	0
569	61	0
570	56	0
571	85	0
572	132	0
573	171	0
574	181	0
575	157	0
576	111	0
577	70	0
578	54	0
579	73	0
580	116	0
581	160	0
582	182	0
583	168	0
584	127	0
585	81	0
586	55	0
587	63	0
588	99	0
589	147	0
590	178	0
591	177	0
592	143	0
593	95	0
594	61	0
595	56	0
596	86	0
597	132	0
598	171	0
599	181	0
600	157	0
601	112	0
602	70	0
603	53	0
604	73	0
605	116	0
606	160	0
607	182	0
608	169	0
609	127	0
610	81	0
611	55	0
612	63	0
613	101	0
614	147	0
615	178	0
616	177	0
617	143	0
618	96	0
619	61	0
620	56	0
621	85	0
622	132	0
623	171	0
624	181	0
625	157	0
626	112	0
627	69	0
628	53	0
629	72	0
630	116	0
631	160	0
632	182	0
633	169	0
634	127	0
635	82	0
636	55	0
637	62	0
638	100	0
639	147	0
640	178	0
641	177	0
642	143	0
643	95	0
644	61	0
645	55	0
646	85	0
647	131	0
648	171	0
649	181	0
650	157	0
651	112	0
652	70	0
653	53	0
654	73	0
655	116	0
656	160	0
657	182	0
658	169	0
659	128	0
660	81	0
661	55	0
662	62	0
663	100	0
664	147	0
665	178	0
666	177	0
667	143	0
668	96	0
669	61	0
670	55	0
671	85	0
672	131	0
673	171	0
674	181	0
675	157	0
676	112	0
677	69	0
678	53	0
679	73	0
680	116	0
681	159	0
682	181	0
683	169	0
684	127	0
685	81	0
686	54	0
687	62	0
688	100	0
689	147	0
690	178	0
691	176	0
692	143	0
693	95	0
694	61	0
695	56	0
696	85	0
697	132	0
698	171	0
699	181	0
700	157	0
701	111	0
702	69	0
703	53	0
704	73	0
705	116	0
706	160	0
707	182	0
708	168	0
709	127	0
710	81	0
711	55	0
712	63	0
713	100	0
714	147	0
715	178	0
716	177	0
717	143	0
718	96	0
719	61	0
720	56	0
721	85	0
722	132	0
723	171	0
724	181	0
725	157	0
726	112	0
727	70	0
728	53	0
729	73	0
730	116	0
731	160	0
732	181	0
733	169	0
734	127	0
735	82	0
736	54	0
737	63	0
738	99	0
739	147	0
740	178	0
741	177	0
742	143	0
743	95	0
744	61	0
745	55	0
746	85	0
747	132	0
748	171	0
749	181	0
750	157	0
751	111	0
752	69	0
753	54	0
754	73	0
755	116	0
756	161	0
757	182	0
758	169	0
759	127	0
760	81	0
761	55	0
762	63	0
763	100	0
764	147	0
765	178	0
766	177	0
767	143	0
768	95	0
769	61	0
770	56	0
771	85	0
772	132	0
773	171	0
774	181	0
775	157	0
776	112	0
777	70	0
778	53	0
779	73	0
780	115	0
781	161	0
782	182	0
783	169	0
784	127	0
785	82	0
786	54	0
787	63	0
788	100	0
789	147	0
790	179	0
791	177	0
792	143	0
793	95	0
794	61	0
795	55	0
796	85	0
797	132	0
798	171	0
799	181	0
800	157	0
801	112	0
802	70	0
803	54	0
804	73	0
805	116	0
806	161	0
807	181	0
808	169	0
809	127	0
810	81	0
811	54	0
812	62	0
813	100	0
814	147	0
815	179	0
816	177	0
817	143	0
818	96	0
819	61	0
820	56	0
821	85	0
822	132	0
823	171	0
824	181	0
825	157	0
826	111	0
827	70	0
828	54	0
829	73	0
830	116	0
831	160	0
832	182	0
833	169	0
834	128	0
835	81	0
836	55	0
837	62	0
838	100	0
839	147	0
840	179	0
841	177	0
842	143	0
843	96	0
844	61	0
845	57	0
846	85	0
847	132	0
848	171	0
849	181	0
850	157	0
851	111	0
852	69	0
853	53	0
854	73	0
855	116	0
856	160	0
857	182	0
858	168	0
859	127	0
860	82	0
861	55	0
862	63	0
863	101	0
864	147	0
865	179	0
866	177	0
867	143	0
868	95	0
869	61	0
870	57	0
871	85	0
872	131	0
873	170	0
874	181	0
875	157	0
876	112	0
877	69	0
878	54	0
879	73	0
880	116	0
881	159	0
882	182	0
883	169	0
884	127	0
885	82	0
886	55	0
887	63	0
888	100	0
889	147	0
890	178	0
891	177	0
892	143	0
893	95	0
894	61	0
895	56	0
896	86	0
897	132	0
898	171	0
899	181	0
900	157	0
901	112	0
902	70	0
903	53	0
904	73	0
905	116	0
906	160	0
907	182	0
908	169	0
909	127	0
910	81	0
911	55	0
912	63	0
913	100	0
914	147	0
915	178	0
916	177	0
917	143	0
918	95	0
919	61	0
920	56	0
921	85	0
922	132	0
923	171	0
924	181	0
925	157	0
926	112	0
927	69	0
928	53	0
929	73	0
930	116	0
931	160	0
932	182	0
933	169	0
934	127	0
935	81	0
936	55	0
937	63	0
938	100	0
939	147	0
940	178	0
941	177	0
942	143	0
943	96	0
944	61	0
945	55	0
946	86	0
947	131	0
948	171	0
949	181	0
950	157	0
951	112	0
952	69	0
953	53	0
954	73	0
955	115	0
956	160	0
957	181	0
958	169	0
959	127	0
960	82	0
961	55	0
962	63	0
963	99	0
964	147	0
965	178	0
966	177	0
967	143	0
968	95	0
969	61	0
970	56	0
971	85	0
972	132	0
973	171	0
974	181	0
975	157	0
976	112	0
977	70	0
978	53	0
979	73	0
980	116	0
981	160	0
982	181	0
983	168	0
984	127	0
985	81	0
986	55	0
987	62	0
988	100	0
989	147	0
990	178	0
991	177	0
992	143	0
993	96	0
994	61	0
995	57	0
996	86	0
997	132	0
998	171	0
999	181	0
