Oscilloscope data. 
Time step = 1,000 uS
Voltage step = 312,5 mV
Zero level = 55

N 	Smpl.	Trig

0	159	0
1	152	0
2	56	0
3	122	0
4	177	0
5	77	0
6	83	0
7	180	0
8	113	0
9	57	0
10	159	0
11	152	0
12	56	0
13	121	0
14	177	0
15	77	0
16	83	0
17	181	0
18	114	0
19	58	0
20	159	0
21	153	0
22	55	0
23	122	0
24	177	0
25	77	0
26	83	0
27	180	0
28	114	0
29	57	0
30	159	0
31	152	0
32	55	0
33	121	0
34	177	0
35	77	0
36	83	0
37	179	0
38	113	0
39	57	0
40	159	0
41	152	0
42	55	0
43	122	0
44	177	0
45	77	0
46	83	0
47	180	0
48	113	0
49	57	0
50	159	0
51	153	0
52	55	0
53	122	0
54	177	0
55	77	0
56	83	0
57	180	0
58	113	0
59	57	0
60	158	0
61	152	0
62	55	0
63	122	0
64	177	0
65	77	0
66	83	0
67	181	0
68	113	0
69	57	0
70	159	0
71	152	0
72	56	0
73	122	0
74	177	0
75	77	0
76	83	0
77	181	0
78	113	0
79	58	0
80	159	0
81	152	0
82	55	0
83	122	0
84	177	0
85	77	0
86	83	0
87	180	0
88	114	0
89	57	0
90	159	0
91	152	0
92	55	0
93	122	0
94	177	0
95	77	0
96	83	0
97	180	0
98	113	0
99	58	0
100	159	0
101	152	0
102	56	0
103	122	0
104	177	0
105	77	0
106	83	0
107	180	0
108	113	0
109	57	0
110	159	0
111	152	0
112	55	0
113	122	0
114	177	0
115	77	0
116	83	0
117	180	0
118	113	0
119	58	0
120	159	0
121	153	0
122	55	0
123	123	0
124	178	0
125	77	0
126	83	0
127	180	0
128	113	0
129	57	0
130	159	0
131	152	0
132	55	0
133	123	0
134	177	0
135	77	0
136	83	0
137	179	0
138	113	0
139	57	0
140	159	0
141	153	0
142	55	0
143	122	0
144	177	0
145	77	0
146	83	0
147	180	0
148	113	0
149	58	0
150	159	0
151	152	0
152	55	0
153	122	0
154	177	0
155	77	0
156	83	0
157	180	0
158	113	0
159	58	0
160	159	0
161	152	0
162	55	0
163	122	0
164	177	0
165	77	0
166	83	0
167	180	0
168	113	0
169	57	0
170	159	0
171	153	0
172	55	0
173	123	0
174	177	0
175	77	0
176	83	0
177	180	0
178	113	0
179	58	0
180	159	0
181	152	0
182	55	0
183	122	0
184	177	0
185	77	0
186	83	0
187	181	0
188	113	0
