Oscilloscope data. 
Time step = 1,000 uS
Voltage step = 312,5 mV
Zero level = 55

N 	Smpl.	Trig

0	135	0
1	88	0
2	57	0
3	59	0
4	93	0
5	140	0
6	175	0
7	179	0
8	150	0
9	103	0
10	65	0
11	54	0
12	79	0
13	124	0
14	166	0
15	182	0
16	163	0
17	119	0
18	75	0
19	53	0
20	67	0
21	109	0
22	154	0
23	181	0
24	173	0
25	135	0
26	89	0
27	57	0
28	59	0
29	93	0
30	140	0
31	175	0
32	179	0
33	150	0
34	103	0
35	65	0
36	54	0
37	79	0
38	124	0
39	166	0
40	182	0
41	163	0
42	119	0
43	76	0
44	53	0
45	67	0
46	109	0
47	155	0
48	181	0
49	173	0
50	135	0
51	88	0
52	57	0
53	59	0
54	93	0
55	141	0
56	175	0
57	179	0
58	150	0
59	103	0
60	65	0
61	54	0
62	79	0
63	123	0
64	166	0
65	182	0
66	163	0
67	118	0
68	75	0
69	53	0
70	67	0
71	108	0
72	154	0
73	181	0
74	173	0
75	135	0
76	87	0
77	57	0
78	59	0
79	93	0
80	140	0
81	175	0
82	179	0
83	149	0
84	103	0
85	65	0
86	54	0
87	79	0
88	123	0
89	166	0
90	183	0
91	162	0
92	119	0
93	75	0
94	53	0
95	68	0
96	108	0
97	155	0
98	181	0
99	173	0
100	135	0
101	88	0
102	57	0
103	59	0
104	93	0
105	140	0
106	175	0
107	179	0
108	150	0
109	103	0
110	65	0
111	54	0
112	79	0
113	124	0
114	166	0
115	182	0
116	163	0
117	119	0
118	76	0
119	53	0
120	67	0
121	108	0
122	155	0
123	181	0
124	173	0
125	135	0
126	88	0
127	57	0
128	59	0
129	92	0
130	140	0
131	175	0
132	179	0
133	150	0
134	103	0
135	65	0
136	54	0
137	79	0
138	124	0
139	166	0
140	182	0
141	163	0
142	119	0
143	75	0
144	54	0
145	67	0
146	108	0
147	154	0
148	181	0
149	173	0
150	135	0
151	89	0
152	57	0
153	59	0
154	92	0
155	141	0
156	175	0
157	179	0
158	150	0
159	103	0
160	65	0
161	54	0
162	79	0
163	124	0
164	166	0
165	182	0
166	163	0
167	119	0
168	75	0
169	53	0
170	67	0
171	108	0
172	154	0
173	181	0
174	173	0
175	135	0
176	88	0
177	57	0
178	59	0
179	92	0
180	140	0
181	175	0
182	179	0
183	150	0
184	103	0
185	65	0
186	54	0
187	79	0
188	124	0
189	166	0
190	182	0
191	163	0
192	118	0
193	75	0
194	53	0
195	67	0
196	108	0
197	155	0
198	181	0
199	173	0
200	135	0
201	88	0
202	57	0
203	59	0
204	93	0
205	140	0
206	175	0
207	179	0
208	150	0
209	104	0
210	65	0
211	54	0
212	79	0
213	124	0
214	167	0
215	182	0
216	163	0
217	119	0
218	75	0
219	53	0
220	67	0
221	108	0
222	154	0
223	181	0
224	173	0
225	135	0
226	88	0
227	57	0
228	59	0
229	93	0
230	139	0
231	175	0
232	179	0
233	150	0
234	103	0
235	65	0
236	54	0
237	78	0
238	125	0
239	166	0
240	182	0
241	163	0
242	119	0
243	75	0
244	53	0
245	67	0
246	108	0
247	154	0
248	181	0
249	173	0
250	135	0
251	87	0
252	57	0
253	59	0
254	93	0
255	140	0
256	175	0
257	179	0
258	150	0
259	103	0
260	65	0
261	54	0
262	79	0
263	124	0
264	166	0
265	183	0
266	163	0
267	119	0
268	75	0
269	54	0
270	67	0
271	109	0
272	154	0
273	181	0
274	173	0
275	135	0
276	89	0
277	57	0
278	59	0
279	93	0
280	140	0
281	175	0
282	179	0
283	150	0
284	103	0
285	64	0
286	54	0
287	78	0
288	125	0
289	166	0
290	182	0
291	162	0
292	119	0
293	75	0
294	53	0
295	67	0
296	108	0
297	154	0
298	181	0
299	173	0
300	136	0
301	88	0
302	57	0
303	59	0
304	93	0
305	140	0
306	175	0
307	180	0
308	150	0
309	103	0
310	65	0
311	54	0
312	79	0
313	124	0
314	166	0
315	182	0
316	163	0
317	119	0
318	75	0
319	53	0
320	67	0
321	108	0
322	155	0
323	181	0
324	173	0
325	135	0
326	87	0
327	57	0
328	59	0
329	93	0
330	139	0
331	175	0
332	180	0
333	150	0
334	103	0
335	65	0
336	54	0
337	79	0
338	124	0
339	166	0
340	182	0
341	163	0
342	119	0
343	75	0
344	53	0
345	67	0
346	107	0
347	155	0
348	181	0
349	173	0
350	136	0
351	88	0
352	57	0
353	59	0
354	93	0
355	140	0
356	175	0
357	179	0
358	150	0
359	103	0
360	65	0
361	54	0
362	78	0
363	124	0
364	166	0
365	182	0
366	163	0
367	119	0
368	75	0
369	53	0
370	67	0
371	108	0
372	155	0
373	181	0
374	173	0
375	135	0
376	88	0
377	57	0
378	59	0
379	93	0
380	140	0
381	175	0
382	179	0
383	150	0
384	103	0
385	65	0
386	54	0
387	79	0
388	123	0
389	166	0
390	182	0
391	163	0
392	119	0
393	75	0
394	53	0
395	67	0
396	108	0
397	154	0
398	181	0
399	173	0
400	135	0
401	88	0
402	57	0
403	59	0
404	93	0
405	140	0
406	175	0
407	179	0
408	150	0
409	103	0
410	65	0
411	54	0
412	79	0
413	124	0
414	166	0
415	182	0
416	163	0
417	119	0
418	75	0
419	53	0
420	67	0
421	107	0
422	154	0
423	181	0
424	173	0
425	135	0
426	89	0
427	57	0
428	59	0
429	93	0
430	140	0
431	175	0
432	179	0
433	150	0
434	103	0
