Oscilloscope data. 
Time step = 1,000 uS
Voltage step = 312,5 mV
Zero level = 55

N 	Smpl.	Trig

0	163	0
1	147	0
2	54	0
3	129	0
4	174	0
5	72	0
6	89	0
7	181	0
8	108	0
9	61	0
10	163	0
11	147	0
12	54	0
13	128	0
14	175	0
15	72	0
16	88	0
17	181	0
18	107	0
19	61	0
20	164	0
21	147	0
22	54	0
23	129	0
24	174	0
25	72	0
26	89	0
27	181	0
28	107	0
29	61	0
30	163	0
31	147	0
32	54	0
33	128	0
34	175	0
35	72	0
36	89	0
37	181	0
38	107	0
39	61	0
40	164	0
41	147	0
42	54	0
43	129	0
44	175	0
45	71	0
46	89	0
47	181	0
48	107	0
49	61	0
50	164	0
51	147	0
52	54	0
53	128	0
54	175	0
55	71	0
56	89	0
57	181	0
58	107	0
59	61	0
60	164	0
61	147	0
62	54	0
63	129	0
64	174	0
65	73	0
66	89	0
67	181	0
68	107	0
69	61	0
70	163	0
71	147	0
72	54	0
73	129	0
74	175	0
75	72	0
76	89	0
77	181	0
78	107	0
79	61	0
80	163	0
81	147	0
82	54	0
83	129	0
84	175	0
85	71	0
86	89	0
87	181	0
88	107	0
89	61	0
90	163	0
91	147	0
92	54	0
93	128	0
94	175	0
95	72	0
96	89	0
97	181	0
98	107	0
99	61	0
100	163	0
101	147	0
102	54	0
103	129	0
104	175	0
105	71	0
106	89	0
107	182	0
108	107	0
109	61	0
110	164	0
111	147	0
112	54	0
113	129	0
114	175	0
115	72	0
116	89	0
117	181	0
118	107	0
119	61	0
120	163	0
121	147	0
122	54	0
123	128	0
124	175	0
125	72	0
126	89	0
127	181	0
128	107	0
129	61	0
130	164	0
131	147	0
132	54	0
133	129	0
134	175	0
135	72	0
136	89	0
137	181	0
138	107	0
139	61	0
140	163	0
141	147	0
142	54	0
143	129	0
144	175	0
145	72	0
146	89	0
147	181	0
148	107	0
149	61	0
150	163	0
151	147	0
152	54	0
153	129	0
154	175	0
155	72	0
156	89	0
157	181	0
158	107	0
159	61	0
160	164	0
161	147	0
162	54	0
163	129	0
164	175	0
165	72	0
166	89	0
167	181	0
168	107	0
169	61	0
170	164	0
171	147	0
172	54	0
173	128	0
174	174	0
175	72	0
176	89	0
177	181	0
178	107	0
179	61	0
180	163	0
181	147	0
182	54	0
183	129	0
184	175	0
185	71	0
186	89	0
187	181	0
188	107	0
189	61	0
190	163	0
191	147	0
192	54	0
193	128	0
194	175	0
195	71	0
196	89	0
197	181	0
198	107	0
199	61	0
200	164	0
201	147	0
202	54	0
203	129	0
204	175	0
205	73	0
206	89	0
207	181	0
208	107	0
209	61	0
210	164	0
211	147	0
212	54	0
213	128	0
214	175	0
215	72	0
216	89	0
217	181	0
218	107	0
219	61	0
220	163	0
221	147	0
222	54	0
223	128	0
224	175	0
225	72	0
226	89	0
227	181	0
228	107	0
229	61	0
230	164	0
231	147	0
232	54	0
233	129	0
234	174	0
235	72	0
236	89	0
237	181	0
238	107	0
239	61	0
240	163	0
241	147	0
242	54	0
243	128	0
244	175	0
245	73	0
246	89	0
247	181	0
248	107	0
249	61	0
250	163	0
251	147	0
252	54	0
253	129	0
254	175	0
255	73	0
256	89	0
257	181	0
258	107	0
259	61	0
260	163	0
261	147	0
262	54	0
263	129	0
264	175	0
265	71	0
266	89	0
267	181	0
268	107	0
269	61	0
270	164	0
271	147	0
272	54	0
273	129	0
274	175	0
275	72	0
276	89	0
277	181	0
278	107	0
279	61	0
280	164	0
281	147	0
282	54	0
283	129	0
284	175	0
285	71	0
286	89	0
287	182	0
288	107	0
289	61	0
290	164	0
291	147	0
292	54	0
293	129	0
294	175	0
295	72	0
296	89	0
297	181	0
298	107	0
299	61	0
300	163	0
301	147	0
302	54	0
303	128	0
304	175	0
305	71	0
306	89	0
307	181	0
308	107	0
309	61	0
310	164	0
311	147	0
312	54	0
313	128	0
314	175	0
315	72	0
316	89	0
317	181	0
318	107	0
319	61	0
320	163	0
321	147	0
322	54	0
323	129	0
324	174	0
325	72	0
326	89	0
327	181	0
328	107	0
329	61	0
330	163	0
331	147	0
332	54	0
333	129	0
334	175	0
335	72	0
336	89	0
337	181	0
338	107	0
339	61	0
340	163	0
341	147	0
342	54	0
343	129	0
344	175	0
345	72	0
346	89	0
347	181	0
348	107	0
349	61	0
350	163	0
351	147	0
352	54	0
353	127	0
354	175	0
355	73	0
356	89	0
357	181	0
358	107	0
359	61	0
360	163	0
361	147	0
362	54	0
363	129	0
364	175	0
365	72	0
366	89	0
367	181	0
368	107	0
369	61	0
370	163	0
371	147	0
372	54	0
373	129	0
374	174	0
375	72	0
376	88	0
377	181	0
378	107	0
379	61	0
380	163	0
381	147	0
382	54	0
383	129	0
384	175	0
385	73	0
386	89	0
387	181	0
388	107	0
389	61	0
390	163	0
391	147	0
392	53	0
393	128	0
394	175	0
395	71	0
396	89	0
397	181	0
398	107	0
399	61	0
400	163	0
401	147	0
402	54	0
403	129	0
404	175	0
405	72	0
406	89	0
407	181	0
408	107	0
409	61	0
410	164	0
411	147	0
412	54	0
413	129	0
414	174	0
415	71	0
416	89	0
417	181	0
418	107	0
419	61	0
420	164	0
421	147	0
422	54	0
423	129	0
424	175	0
425	73	0
426	89	0
427	181	0
428	107	0
429	61	0
430	163	0
431	147	0
432	54	0
433	128	0
434	175	0
435	71	0
436	89	0
437	181	0
438	107	0
439	61	0
440	163	0
441	147	0
442	54	0
443	129	0
444	175	0
445	72	0
446	89	0
447	181	0
448	107	0
449	61	0
450	164	0
451	147	0
452	54	0
453	129	0
454	175	0
455	72	0
456	89	0
457	181	0
458	107	0
459	61	0
460	164	0
461	147	0
462	54	0
463	128	0
464	174	0
465	72	0
466	89	0
467	181	0
468	107	0
469	61	0
470	163	0
471	147	0
472	54	0
473	128	0
474	174	0
475	72	0
476	89	0
477	181	0
478	107	0
479	61	0
480	164	0
481	147	0
482	54	0
483	128	0
484	175	0
485	72	0
486	89	0
487	181	0
488	107	0
489	61	0
490	163	0
491	147	0
492	54	0
493	129	0
494	175	0
495	72	0
496	89	0
497	181	0
498	107	0
499	61	0
500	163	0
501	147	0
502	54	0
503	129	0
504	175	0
505	72	0
506	89	0
507	181	0
508	107	0
509	61	0
510	163	0
511	147	0
512	54	0
513	128	0
514	175	0
515	73	0
516	89	0
517	181	0
518	107	0
519	61	0
520	163	0
521	147	0
522	54	0
523	128	0
524	174	0
525	72	0
526	89	0
527	181	0
528	107	0
529	61	0
530	163	0
531	147	0
532	54	0
533	129	0
534	175	0
535	72	0
536	88	0
537	181	0
538	107	0
539	61	0
540	163	0
541	147	0
542	54	0
543	128	0
544	175	0
545	72	0
546	89	0
547	181	0
548	107	0
549	61	0
550	163	0
551	147	0
552	54	0
553	129	0
554	175	0
555	72	0
556	89	0
557	181	0
558	107	0
559	61	0
560	164	0
561	147	0
562	54	0
563	129	0
564	175	0
565	71	0
566	89	0
567	181	0
568	107	0
569	61	0
570	164	0
571	147	0
572	54	0
573	128	0
574	175	0
575	72	0
576	89	0
577	181	0
578	107	0
579	61	0
580	163	0
581	147	0
582	54	0
583	128	0
584	175	0
585	73	0
586	89	0
587	181	0
588	107	0
589	61	0
590	164	0
591	147	0
592	54	0
593	129	0
594	174	0
595	73	0
596	89	0
597	181	0
598	107	0
599	61	0
600	164	0
601	147	0
602	54	0
603	129	0
604	175	0
605	72	0
606	89	0
607	181	0
608	107	0
609	61	0
610	163	0
611	147	0
612	54	0
613	129	0
614	175	0
615	72	0
616	89	0
617	181	0
618	107	0
619	61	0
620	163	0
621	147	0
622	55	0
623	128	0
624	175	0
625	72	0
626	89	0
627	181	0
628	107	0
629	61	0
630	163	0
631	147	0
632	54	0
633	129	0
634	175	0
635	72	0
636	89	0
637	181	0
638	107	0
639	61	0
640	163	0
641	147	0
642	54	0
643	129	0
644	174	0
645	72	0
646	89	0
647	181	0
648	107	0
649	61	0
650	164	0
651	147	0
652	54	0
653	129	0
654	174	0
655	72	0
656	89	0
657	181	0
658	107	0
659	61	0
660	163	0
661	147	0
662	54	0
663	128	0
664	175	0
665	72	0
666	89	0
667	181	0
668	107	0
669	61	0
670	163	0
671	147	0
672	54	0
673	129	0
674	174	0
675	72	0
676	89	0
677	181	0
678	107	0
679	61	0
680	163	0
681	147	0
682	54	0
683	129	0
